rental_id,user_id,age,gender,start_time,end_time,start_station,end_station,duration_minutes,price
1,101,25,M,2024-01-15 08:30:00,2024-01-15 09:15:00,Station A,Station B,45,4.50
2,102,32,F,2024-01-15 09:15:00,2024-01-15 09:45:00,Station B,Station C,30,3.00
3,103,28,M,2024-01-15 17:30:00,2024-01-15 18:15:00,Station C,Station A,45,4.50
4,104,45,F,2024-01-15 12:00:00,2024-01-15 12:25:00,Station A,Station D,25,2.50
5,105,22,M,2024-01-15 07:45:00,2024-01-15 08:30:00,Station D,Station B,45,4.50
6,106,35,F,2024-01-15 18:20:00,2024-01-15 19:05:00,Station B,Station E,45,4.50
7,107,29,M,2024-01-15 14:10:00,2024-01-15 14:40:00,Station E,Station C,30,3.00
8,108,41,F,2024-01-15 10:30:00,2024-01-15 11:15:00,Station C,Station D,45,4.50
9,109,26,M,2024-01-15 16:45:00,2024-01-15 17:30:00,Station D,Station A,45,4.50
10,110,33,F,2024-01-15 13:20:00,2024-01-15 13:50:00,Station A,Station E,30,3.00
11,111,24,M,2024-01-15 08:15:00,2024-01-15 08:45:00,Station B,Station A,30,3.00
12,112,38,F,2024-01-15 19:30:00,2024-01-15 20:15:00,Station E,Station B,45,4.50
13,113,27,M,2024-01-15 11:00:00,2024-01-15 11:45:00,Station D,Station C,45,4.50
14,114,31,F,2024-01-15 15:20:00,2024-01-15 16:05:00,Station C,Station E,45,4.50
15,115,23,M,2024-01-15 07:30:00,2024-01-15 08:00:00,Station A,Station B,30,3.00
16,116,42,F,2024-01-15 09:45:00,2024-01-15 10:15:00,Station B,Station D,30,3.00
17,117,29,M,2024-01-15 17:15:00,2024-01-15 18:00:00,Station E,Station A,45,4.50
18,118,36,F,2024-01-15 12:30:00,2024-01-15 13:00:00,Station D,Station B,30,3.00
19,119,25,M,2024-01-15 14:45:00,2024-01-15 15:30:00,Station A,Station C,45,4.50
20,120,39,F,2024-01-15 18:45:00,2024-01-15 19:30:00,Station C,Station D,45,4.50
21,121,28,M,2024-01-15 08:45:00,2024-01-15 09:30:00,Station B,Station E,45,4.50
22,122,34,F,2024-01-15 10:00:00,2024-01-15 10:40:00,Station E,Station C,40,4.00
23,123,26,M,2024-01-15 16:30:00,2024-01-15 17:15:00,Station D,Station A,45,4.50
24,124,44,F,2024-01-15 13:15:00,2024-01-15 14:00:00,Station A,Station D,45,4.50
25,125,30,M,2024-01-15 19:00:00,2024-01-15 19:45:00,Station C,Station B,45,4.50
26,126,27,F,2024-01-15 07:15:00,2024-01-15 07:45:00,Station B,Station A,30,3.00
27,127,37,M,2024-01-15 11:30:00,2024-01-15 12:15:00,Station E,Station D,45,4.50
28,128,32,F,2024-01-15 15:45:00,2024-01-15 16:30:00,Station D,Station C,45,4.50
29,129,24,M,2024-01-15 09:00:00,2024-01-15 09:35:00,Station A,Station E,35,3.50
30,130,41,F,2024-01-15 17:45:00,2024-01-15 18:30:00,Station C,Station A,45,4.50
31,131,29,M,2024-01-15 12:45:00,2024-01-15 13:30:00,Station B,Station D,45,4.50
32,132,35,F,2024-01-15 14:30:00,2024-01-15 15:15:00,Station E,Station B,45,4.50
33,133,22,M,2024-01-15 08:00:00,2024-01-15 08:30:00,Station D,Station A,30,3.00
34,134,38,F,2024-01-15 18:00:00,2024-01-15 18:45:00,Station A,Station C,45,4.50
